"File Name","Scan Method","Image Number","Replicate Number","Visit Number","Shoe Number","Shoe Make/Model","Shoe Size","Worker Names","Shoe Color"
"009506L_20180124_2_2_2_csafe_tpashek.tiff","2D Scanner","2","2","1","9","Adidas/Seeley","7 W","csafe_tpashek","Black"
"016503L_20180411_2_1_2_csafe_jekruse.tiff","2D Scanner","1","2","3","16","Adidas/Seeley","10 M","csafe_jekruse","Grey"
"002054L_20180124_2_1_2_csafe_boekhoff.tiff","2D Scanner","1","2","1","2","Adidas/Seeley","7 W","csafe_boekhoff","Black"
"007414R_20180228_2_1_2_csafe_jekruse.tiff","2D Scanner","1","2","2","7","Adidas/Seeley","10 M","csafe_jekruse","Blue night/running-white"
"007961L_20180124_2_1_1_csafe_bryson.tiff","2D Scanner","1","1","1","7","Adidas/Seeley","10 M","csafe_bryson","Blue night/running-white"
"007961L_20180411_2_2_1_csafe_jekruse.tiff","2D Scanner","2","1","3","7","Adidas/Seeley","10 M","csafe_jekruse","Blue night/running-white"
"009872R_20180124_2_2_2_csafe_tpashek.tiff","2D Scanner","2","2","1","9","Adidas/Seeley","7 W","csafe_tpashek","Black"
"009872R_20180228_2_2_1_csafe_boekhoff.tiff","2D Scanner","2","1","2","9","Adidas/Seeley","7 W","csafe_boekhoff","Black"
"002898R_20180228_2_2_1_csafe_hanrahan.tiff","2D Scanner","2","1","2","2","Adidas/Seeley","7 W","csafe_hanrahan","Black"
"003271L_20180124_2_1_2_csafe_boekhoff.tiff","2D Scanner","1","2","1","3","Adidas/Seeley","7 W","csafe_boekhoff","Black"
"016503L_20180411_2_2_2_csafe_jekruse.tiff","2D Scanner","2","2","3","16","Adidas/Seeley","10 M","csafe_jekruse","Grey"
"002898R_20180124_2_1_2_csafe_boekhoff.tiff","2D Scanner","1","2","1","2","Adidas/Seeley","7 W","csafe_boekhoff","Black"
"016503L_20180411_2_1_1_csafe_jekruse.tiff","2D Scanner","1","1","3","16","Adidas/Seeley","10 M","csafe_jekruse","Grey"
"009506L_20180124_2_1_2_csafe_tpashek.tiff","2D Scanner","1","2","1","9","Adidas/Seeley","7 W","csafe_tpashek","Black"
"016503L_20180305_2_2_2_csafe_bpbryson.tiff","2D Scanner","2","2","2","16","Adidas/Seeley","10 M","csafe_bpbryson","Grey"
"016503L_20180305_2_1_1_csafe_bpbryson.tiff","2D Scanner","1","1","2","16","Adidas/Seeley","10 M","csafe_bpbryson","Grey"
"007961L_20180411_2_2_2_csafe_jekruse.tiff","2D Scanner","2","2","3","7","Adidas/Seeley","10 M","csafe_jekruse","Blue night/running-white"
"009506L_20180228_2_2_2_csafe_boekhoff.tiff","2D Scanner","2","2","2","9","Adidas/Seeley","7 W","csafe_boekhoff","Black"
"007961L_20180228_2_1_2_csafe_jekruse.tiff","2D Scanner","1","2","2","7","Adidas/Seeley","10 M","csafe_jekruse","Blue night/running-white"
"002054L_20180228_2_1_2_csafe_hanrahan.tiff","2D Scanner","1","2","2","2","Adidas/Seeley","7 W","csafe_hanrahan","Black"
"007961L_20180228_2_1_1_csafe_jekruse.tiff","2D Scanner","1","1","2","7","Adidas/Seeley","10 M","csafe_jekruse","Blue night/running-white"
"016098R_20171031_2_1_2_csafe_bpbryson.tiff","2D Scanner","1","2","0","16","Adidas/Seeley","10 M","csafe_bpbryson","Grey"
"002054L_20180124_2_2_1_csafe_boekhoff.tiff","2D Scanner","2","1","1","2","Adidas/Seeley","7 W","csafe_boekhoff","Black"
"007414R_20180124_2_1_1_csafe_bryson.tiff","2D Scanner","1","1","1","7","Adidas/Seeley","10 M","csafe_bryson","Blue night/running-white"
"009872R_20180124_2_1_1_csafe_tpashek.tiff","2D Scanner","1","1","1","9","Adidas/Seeley","7 W","csafe_tpashek","Black"
"016098R_20180305_2_2_1_csafe_bpbryson.tiff","2D Scanner","2","1","2","16","Adidas/Seeley","10 M","csafe_bpbryson","Grey"
"003859R_20180228_2_2_1_csafe_boekhoff.tiff","2D Scanner","2","1","2","3","Adidas/Seeley","7 W","csafe_boekhoff","Black"
"007414R_20171031_2_2_1_csafe_bpbryson.tiff","2D Scanner","2","1","0","7","Adidas/Seeley","10 M","csafe_bpbryson","Blue night/running-white"
"002054L_20180411_2_1_2_csafe_tpashek.tiff","2D Scanner","1","2","3","2","Adidas/Seeley","7 W","csafe_tpashek","Black"
"016098R_20171031_2_1_1_csafe_bpbryson.tiff","2D Scanner","1","1","0","16","Adidas/Seeley","10 M","csafe_bpbryson","Grey"
"016098R_20171031_2_2_2_csafe_bpbryson.tiff","2D Scanner","2","2","0","16","Adidas/Seeley","10 M","csafe_bpbryson","Grey"
"002898R_20180228_2_1_2_csafe_hanrahan.tiff","2D Scanner","1","2","2","2","Adidas/Seeley","7 W","csafe_hanrahan","Black"
"003271L_20180124_2_2_1_csafe_boekhoff.tiff","2D Scanner","2","1","1","3","Adidas/Seeley","7 W","csafe_boekhoff","Black"
"007961L_20171031_2_1_1_csafe_bpbryson.tiff","2D Scanner","1","1","0","7","Adidas/Seeley","10 M","csafe_bpbryson","Blue night/running-white"
"009872R_20180228_2_1_2_csafe_boekhoff.tiff","2D Scanner","1","2","2","9","Adidas/Seeley","7 W","csafe_boekhoff","Black"
"007414R_20180124_2_2_1_csafe_tpashek.tiff","2D Scanner","2","1","1","7","Adidas/Seeley","10 M","csafe_tpashek","Blue night/running-white"
"016503L_20180411_2_2_1_csafe_jekruse.tiff","2D Scanner","2","1","3","16","Adidas/Seeley","10 M","csafe_jekruse","Grey"
"003271L_20180228_2_2_1_csafe_boekhoff.tiff","2D Scanner","2","1","2","3","Adidas/Seeley","7 W","csafe_boekhoff","Black"
"009872R_20180124_2_2_1_csafe_tpashek.tiff","2D Scanner","2","1","1","9","Adidas/Seeley","7 W","csafe_tpashek","Black"
"007961L_20180124_2_2_1_csafe_bryson.tiff","2D Scanner","2","1","1","7","Adidas/Seeley","10 M","csafe_bryson","Blue night/running-white"
"003271L_20171027_2_1_1_csafe_tpashek.tiff","2D Scanner","1","1","0","3","Adidas/Seeley","7 W","csafe_tpashek","Black"
"016503L_20171031_2_1_2_csafe_bpbryson.tiff","2D Scanner","1","2","0","16","Adidas/Seeley","10 M","csafe_bpbryson","Grey"
"009506L_20180228_2_1_2_csafe_boekhoff.tiff","2D Scanner","1","2","2","9","Adidas/Seeley","7 W","csafe_boekhoff","Black"
"016098R_20171031_2_2_1_csafe_bpbryson.tiff","2D Scanner","2","1","0","16","Adidas/Seeley","10 M","csafe_bpbryson","Grey"
"016503L_20180305_2_2_1_csafe_bpbryson.tiff","2D Scanner","2","1","2","16","Adidas/Seeley","10 M","csafe_bpbryson","Grey"
"003859R_20180411_2_2_2_csafe_tpashek.tiff","2D Scanner","2","2","3","3","Adidas/Seeley","7 W","csafe_tpashek","Black"
"007414R_20171031_2_1_1_csafe_bpbryson.tiff","2D Scanner","1","1","0","7","Adidas/Seeley","10 M","csafe_bpbryson","Blue night/running-white"
"016503L_20180124_2_1_1_csafe_jekruse.tiff","2D Scanner","1","1","1","16","Adidas/Seeley","10 M","csafe_jekruse","Grey"
"003271L_20180228_2_1_2_csafe_boekhoff.tiff","2D Scanner","1","2","2","3","Adidas/Seeley","7 W","csafe_boekhoff","Black"
"002898R_20180411_2_2_2_csafe_tpashek.tiff","2D Scanner","2","2","3","2","Adidas/Seeley","7 W","csafe_tpashek","Black"
"009506L_20180228_2_1_1_csafe_boekhoff.tiff","2D Scanner","1","1","2","9","Adidas/Seeley","7 W","csafe_boekhoff","Black"
"016098R_20180411_2_1_1_csafe_jekruse.tiff","2D Scanner","1","1","3","16","Adidas/Seeley","10 M","csafe_jekruse","Grey"
"007961L_20180411_2_1_2_csafe_jekruse.tiff","2D Scanner","1","2","3","7","Adidas/Seeley","10 M","csafe_jekruse","Blue night/running-white"
"009506L_20180124_2_2_1_csafe_tpashek.tiff","2D Scanner","2","1","1","9","Adidas/Seeley","7 W","csafe_tpashek","Black"
"002898R_20180124_2_1_1_csafe_boekhoff.tiff","2D Scanner","1","1","1","2","Adidas/Seeley","7 W","csafe_boekhoff","Black"
"009872R_20180228_2_1_1_csafe_boekhoff.tiff","2D Scanner","1","1","2","9","Adidas/Seeley","7 W","csafe_boekhoff","Black"
"016098R_20180411_2_2_1_csafe_jekruse.tiff","2D Scanner","2","1","3","16","Adidas/Seeley","10 M","csafe_jekruse","Grey"
"002898R_20171027_2_1_2_csafe_tpashek.tiff","2D Scanner","1","2","0","2","Adidas/Seeley","7 W","csafe_tpashek","Black"
"003859R_20171027_2_1_1_csafe_tpashek.tiff","2D Scanner","1","1","0","3","Adidas/Seeley","7 W","csafe_tpashek","Black"
"003859R_20180124_2_1_2_csafe_boekhoff.tiff","2D Scanner","1","2","1","3","Adidas/Seeley","7 W","csafe_boekhoff","Black"
"016098R_20180411_2_1_2_csafe_jekruse.tiff","2D Scanner","1","2","3","16","Adidas/Seeley","10 M","csafe_jekruse","Grey"
"002054L_20180228_2_1_1_csafe_hanrahan.tiff","2D Scanner","1","1","2","2","Adidas/Seeley","7 W","csafe_hanrahan","Black"
"007961L_20180228_2_2_2_csafe_jekruse.tiff","2D Scanner","2","2","2","7","Adidas/Seeley","10 M","csafe_jekruse","Blue night/running-white"
"003859R_20180228_2_1_2_csafe_boekhoff.tiff","2D Scanner","1","2","2","3","Adidas/Seeley","7 W","csafe_boekhoff","Black"
"009506L_20171030_2_2_1_csafe_tpashek.tiff","2D Scanner","2","1","0","9","Adidas/Seeley","7 W","csafe_tpashek","Black"
"016503L_20180124_2_2_2_csafe_jekruse.tiff","2D Scanner","2","2","1","16","Adidas/Seeley","10 M","csafe_jekruse","Grey"
"003271L_20180411_2_2_1_csafe_tpashek.tiff","2D Scanner","2","1","3","3","Adidas/Seeley","7 W","csafe_tpashek","Black"
"007414R_20180411_2_2_2_csafe_jekruse.tiff","2D Scanner","2","2","3","7","Adidas/Seeley","10 M","csafe_jekruse","Blue night/running-white"
"016098R_20180411_2_2_2_csafe_jekruse.tiff","2D Scanner","2","2","3","16","Adidas/Seeley","10 M","csafe_jekruse","Grey"
"009872R_20171030_2_1_1_csafe_tpashek.tiff","2D Scanner","1","1","0","9","Adidas/Seeley","7 W","csafe_tpashek","Black"
"016503L_20180124_2_1_2_csafe_jekruse.tiff","2D Scanner","1","2","1","16","Adidas/Seeley","10 M","csafe_jekruse","Grey"
"002054L_20180411_2_2_1_csafe_tpashek.tiff","2D Scanner","2","1","3","2","Adidas/Seeley","7 W","csafe_tpashek","Black"
"002054L_20171027_2_2_2_csafe_tpashek.tiff","2D Scanner","2","2","0","2","Adidas/Seeley","7 W","csafe_tpashek","Black"
"007414R_20180228_2_1_1_csafe_jekruse.tiff","2D Scanner","1","1","2","7","Adidas/Seeley","10 M","csafe_jekruse","Blue night/running-white"
"016503L_20180124_2_2_1_csafe_jekruse.tiff","2D Scanner","2","1","1","16","Adidas/Seeley","10 M","csafe_jekruse","Grey"
"002898R_20180411_2_1_1_csafe_tpashek.tiff","2D Scanner","1","1","3","2","Adidas/Seeley","7 W","csafe_tpashek","Black"
"003271L_20180228_2_2_2_csafe_boekhoff.tiff","2D Scanner","2","2","2","3","Adidas/Seeley","7 W","csafe_boekhoff","Black"
"003271L_20180124_2_1_1_csafe_boekhoff.tiff","2D Scanner","1","1","1","3","Adidas/Seeley","7 W","csafe_boekhoff","Black"
"002898R_20180228_2_2_2_csafe_hanrahan.tiff","2D Scanner","2","2","2","2","Adidas/Seeley","7 W","csafe_hanrahan","Black"
"007414R_20180124_2_1_2_csafe_bryson.tiff","2D Scanner","1","2","1","7","Adidas/Seeley","10 M","csafe_bryson","Blue night/running-white"
"016098R_20180124_2_1_1_csafe_jekruse.tiff","2D Scanner","1","1","1","16","Adidas/Seeley","10 M","csafe_jekruse","Grey"
"009506L_20171030_2_1_1_csafe_tpashek.tiff","2D Scanner","1","1","0","9","Adidas/Seeley","7 W","csafe_tpashek","Black"
"003271L_20171027_2_1_2_csafe_tpashek.tiff","2D Scanner","1","2","0","3","Adidas/Seeley","7 W","csafe_tpashek","Black"
"009872R_20171030_2_2_1_csafe_tpashek.tiff","2D Scanner","2","1","0","9","Adidas/Seeley","7 W","csafe_tpashek","Black"
"007961L_20180228_2_2_1_csafe_jekruse.tiff","2D Scanner","2","1","2","7","Adidas/Seeley","10 M","csafe_jekruse","Blue night/running-white"
"016098R_20180305_2_1_2_csafe_bpbryson.tiff","2D Scanner","1","2","2","16","Adidas/Seeley","10 M","csafe_bpbryson","Grey"
"002898R_20171027_2_1_1_csafe_tpashek.tiff","2D Scanner","1","1","0","2","Adidas/Seeley","7 W","csafe_tpashek","Black"
"003859R_20171027_2_2_2_csafe_tpashek.tiff","2D Scanner","2","2","0","3","Adidas/Seeley","7 W","csafe_tpashek","Black"
"003271L_20171027_2_2_2_csafe_tpashek.tiff","2D Scanner","2","2","0","3","Adidas/Seeley","7 W","csafe_tpashek","Black"
"003859R_20180411_2_2_1_csafe_tpashek.tiff","2D Scanner","2","1","3","3","Adidas/Seeley","7 W","csafe_tpashek","Black"
"003271L_20180411_2_1_1_csafe_tpashek.tiff","2D Scanner","1","1","3","3","Adidas/Seeley","7 W","csafe_tpashek","Black"
"002054L_20171027_2_1_1_csafe_tpashek.tiff","2D Scanner","1","1","0","2","Adidas/Seeley","7 W","csafe_tpashek","Black"
"016098R_20180305_2_2_2_csafe_bpbryson.tiff","2D Scanner","2","2","2","16","Adidas/Seeley","10 M","csafe_bpbryson","Grey"
"016098R_20180305_2_1_1_csafe_bpbryson.tiff","2D Scanner","1","1","2","16","Adidas/Seeley","10 M","csafe_bpbryson","Grey"
"016098R_20180124_2_1_2_csafe_jekruse.tiff","2D Scanner","1","2","1","16","Adidas/Seeley","10 M","csafe_jekruse","Grey"
"009506L_20171030_2_1_2_csafe_tpashek.tiff","2D Scanner","1","2","0","9","Adidas/Seeley","7 W","csafe_tpashek","Black"
"003859R_20180228_2_1_1_csafe_boekhoff.tiff","2D Scanner","1","1","2","3","Adidas/Seeley","7 W","csafe_boekhoff","Black"
"016098R_20180124_2_2_1_csafe_jekruse.tiff","2D Scanner","2","1","1","16","Adidas/Seeley","10 M","csafe_jekruse","Grey"
"002898R_20171027_2_2_1_csafe_tpashek.tiff","2D Scanner","2","1","0","2","Adidas/Seeley","7 W","csafe_tpashek","Black"
"003271L_20180228_2_1_1_csafe_hanrahan.tiff","2D Scanner","1","1","2","3","Adidas/Seeley","7 W","csafe_hanrahan","Black"
"002898R_20180124_2_2_2_csafe_boekhoff.tiff","2D Scanner","2","2","1","2","Adidas/Seeley","7 W","csafe_boekhoff","Black"
"009506L_20171030_2_2_2_csafe_tpashek.tiff","2D Scanner","2","2","0","9","Adidas/Seeley","7 W","csafe_tpashek","Black"
"009506L_20180228_2_2_1_csafe_boekhoff.tiff","2D Scanner","2","1","2","9","Adidas/Seeley","7 W","csafe_boekhoff","Black"
"003859R_20180124_2_1_1_csafe_boekhoff.tiff","2D Scanner","1","1","1","3","Adidas/Seeley","7 W","csafe_boekhoff","Black"
"009872R_20180228_2_2_2_csafe_boekhoff.tiff","2D Scanner","2","2","2","9","Adidas/Seeley","7 W","csafe_boekhoff","Black"
"007414R_20180411_2_1_1_csafe_jekruse.tiff","2D Scanner","1","1","3","7","Adidas/Seeley","10 M","csafe_jekruse","Blue night/running-white"
"002054L_20171027_2_2_1_csafe_tpashek.tiff","2D Scanner","2","1","0","2","Adidas/Seeley","7 W","csafe_tpashek","Black"
"003271L_20180411_2_1_2_csafe_tpashek.tiff","2D Scanner","1","2","3","3","Adidas/Seeley","7 W","csafe_tpashek","Black"
"003859R_20180411_2_1_1_csafe_tpashek.tiff","2D Scanner","1","1","3","3","Adidas/Seeley","7 W","csafe_tpashek","Black"
"003859R_20171027_2_1_2_csafe_tpashek.tiff","2D Scanner","1","2","0","3","Adidas/Seeley","7 W","csafe_tpashek","Black"
"016503L_20171031_2_2_1_csafe_bpbryson.tiff","2D Scanner","2","1","0","16","Adidas/Seeley","10 M","csafe_bpbryson","Grey"
"007414R_20180228_2_2_2_csafe_jekruse.tiff","2D Scanner","2","2","2","7","Adidas/Seeley","10 M","csafe_jekruse","Blue night/running-white"
"002054L_20180228_2_2_2_csafe_hanrahan.tiff","2D Scanner","2","2","2","2","Adidas/Seeley","7 W","csafe_hanrahan","Black"
"007414R_20180228_2_2_1_csafe_jekruse.tiff","2D Scanner","2","1","2","7","Adidas/Seeley","10 M","csafe_jekruse","Blue night/running-white"
"007414R_20180411_2_1_2_csafe_jekruse.tiff","2D Scanner","1","2","3","7","Adidas/Seeley","10 M","csafe_jekruse","Blue night/running-white"
"002054L_20180124_2_1_1_csafe_boekhoff.tiff","2D Scanner","1","1","1","2","Adidas/Seeley","7 W","csafe_boekhoff","Black"
"003859R_20180124_2_2_1_csafe_boekhoff.tiff","2D Scanner","2","1","1","3","Adidas/Seeley","7 W","csafe_boekhoff","Black"
"016503L_20171031_2_2_2_csafe_bpbryson.tiff","2D Scanner","2","2","0","16","Adidas/Seeley","10 M","csafe_bpbryson","Grey"
"016503L_20171031_2_1_1_csafe_bpbryson.tiff","2D Scanner","1","1","0","16","Adidas/Seeley","10 M","csafe_bpbryson","Grey"
"003271L_20180411_2_2_2_csafe_tpashek.tiff","2D Scanner","2","2","3","3","Adidas/Seeley","7 W","csafe_tpashek","Black"
"003271L_20180124_2_2_2_csafe_boekhoff.tiff","2D Scanner","2","2","1","3","Adidas/Seeley","7 W","csafe_boekhoff","Black"
"002898R_20180228_2_1_1_csafe_hanrahan.tiff","2D Scanner","1","1","2","2","Adidas/Seeley","7 W","csafe_hanrahan","Black"
"007414R_20180124_2_2_2_csafe_bryson.tiff","2D Scanner","2","2","1","7","Adidas/Seeley","10 M","csafe_bryson","Blue night/running-white"
"003271L_20171027_2_2_1_csafe_tpashek.tiff","2D Scanner","2","1","0","3","Adidas/Seeley","7 W","csafe_tpashek","Black"
"016098R_20180124_2_2_2_csafe_jekruse.tiff","2D Scanner","2","2","1","16","Adidas/Seeley","10 M","csafe_jekruse","Grey"
"007961L_20171031_2_2_2_csafe_bpbryson.tiff","2D Scanner","2","2","0","7","Adidas/Seeley","10 M","csafe_bpbryson","Blue night/running-white"
"016503L_20180305_2_1_2_csafe_bpbryson.tiff","2D Scanner","1","2","2","16","Adidas/Seeley","10 M","csafe_bpbryson","Grey"
"002898R_20180411_2_1_2_csafe_tpashek.tiff","2D Scanner","1","2","3","2","Adidas/Seeley","7 W","csafe_tpashek","Black"
"007961L_20171031_2_2_1_csafe_bpbryson.tiff","2D Scanner","2","1","0","7","Adidas/Seeley","10 M","csafe_bpbryson","Blue night/running-white"
"002054L_20180411_2_2_2_csafe_tpashek.tiff","2D Scanner","2","2","3","2","Adidas/Seeley","7 W","csafe_tpashek","Black"
"007414R_20171031_2_1_2_csafe_bpbryson.tiff","2D Scanner","1","2","0","7","Adidas/Seeley","10 M","csafe_bpbryson","Blue night/running-white"
"007961L_20180411_2_1_1_csafe_jekruse.tiff","2D Scanner","1","1","3","7","Adidas/Seeley","10 M","csafe_jekruse","Blue night/running-white"
"009872R_20171030_2_1_2_csafe_tpashek.tiff","2D Scanner","1","2","0","9","Adidas/Seeley","7 W","csafe_tpashek","Black"
"003859R_20180411_2_1_2_csafe_tpashek.tiff","2D Scanner","1","2","3","3","Adidas/Seeley","7 W","csafe_tpashek","Black"
"002054L_20180411_2_1_1_csafe_tpashek.tiff","2D Scanner","1","1","3","2","Adidas/Seeley","7 W","csafe_tpashek","Black"
"007414R_20180411_2_2_1_csafe_jekruse.tiff","2D Scanner","2","1","3","7","Adidas/Seeley","10 M","csafe_jekruse","Blue night/running-white"
"003859R_20171027_2_2_1_csafe_tpashek.tiff","2D Scanner","2","1","0","3","Adidas/Seeley","7 W","csafe_tpashek","Black"
"009506L_20180124_2_1_1_csafe_tpashek.tiff","2D Scanner","1","1","1","9","Adidas/Seeley","7 W","csafe_tpashek","Black"
"002898R_20180411_2_2_1_csafe_tpashek.tiff","2D Scanner","2","1","3","2","Adidas/Seeley","7 W","csafe_tpashek","Black"
"007961L_20180124_2_2_2_csafe_bryson.tiff","2D Scanner","2","2","1","7","Adidas/Seeley","10 M","csafe_bryson","Blue night/running-white"
"007961L_20180124_2_1_2_csafe_bryson.tiff","2D Scanner","1","2","1","7","Adidas/Seeley","10 M","csafe_bryson","Blue night/running-white"
"002054L_20171027_2_1_2_csafe_tpashek.tiff","2D Scanner","1","2","0","2","Adidas/Seeley","7 W","csafe_tpashek","Black"
"007961L_20171031_2_1_2_csafe_bpbryson.tiff","2D Scanner","1","2","0","7","Adidas/Seeley","10 M","csafe_bpbryson","Blue night/running-white"
"002898R_20180124_2_2_1_csafe_boekhoff.tiff","2D Scanner","2","1","1","2","Adidas/Seeley","7 W","csafe_boekhoff","Black"
"002054L_20180124_2_2_2_csafe_boekhoff.tiff","2D Scanner","2","2","1","2","Adidas/Seeley","7 W","csafe_boekhoff","Black"
"009872R_20180124_2_1_2_csafe_tpashek.tiff","2D Scanner","1","2","1","9","Adidas/Seeley","7 W","csafe_tpashek","Black"
"003859R_20180124_2_2_2_csafe_boekhoff.tiff","2D Scanner","2","2","1","3","Adidas/Seeley","7 W","csafe_boekhoff","Black"
"002898R_20171027_2_2_2_csafe_tpashek.tiff","2D Scanner","2","2","0","2","Adidas/Seeley","7 W","csafe_tpashek","Black"
"003859R_20180228_2_2_2_csafe_boekhoff.tiff","2D Scanner","2","2","2","3","Adidas/Seeley","7 W","csafe_boekhoff","Black"
"007414R_20171031_2_2_2_csafe_bpbryson.tiff","2D Scanner","2","2","0","7","Adidas/Seeley","10 M","csafe_bpbryson","Blue night/running-white"
"002054L_20180228_2_2_1_csafe_hanrahan.tiff","2D Scanner","2","1","2","2","Adidas/Seeley","7 W","csafe_hanrahan","Black"
